PlotID,TreeID,CurrentX,CurrentY,Diameter_cm,Species
13,2,420083.862,6483151.406,35.1,2
13,3,420074.9054,6483159.115,34.95,2
13,4,420069.9398,6483154.171,20.9,3
13,5,420076.1403,6483143.684,25.0,2
13,6,420079.132,6483147.16,28.05,2
13,7,420081.924,6483145.161,21.7,2
13,8,420085.1944,6483147.228,34.8,2
13,9,420083.8262,6483151.431,35.05,2
13,10,420083.1919,6483158.848,38.2,2
13,11,420079.7039,6483154.562,29.9,2
13,12,420074.8944,6483159.133,34.9,2
13,13,420075.5586,6483152.988,34.3,2
13,14,420069.9502,6483154.156,20.75,3
13,15,420071.7694,6483152.605,19.8,2
13,16,420072.099,6483152.271,14.2,2
13,17,420074.2575,6483148.92,22.35,2
6,1,420122.9833,6483161.153,40.2,2
6,2,420130.9322,6483167.992,31.35,2
6,3,420125.7572,6483176.948,30.05,2
6,4,420125.426,6483171.338,37.15,2
6,5,420123.0143,6483161.187,40.85,2
6,6,420125.8234,6483166.876,34.8,2
6,7,420130.9101,6483167.996,31.25,2
6,8,420127.3233,6483169.967,28.85,2
6,9,420125.5465,6483168.854,10.6,3
6,10,420132.7701,6483174.896,25.95,2
6,11,420129.2302,6483175.488,30.3,2
6,12,420123.8752,6483174.212,24.95,2
6,13,420119.7857,6483175.868,37.6,2
6,14,420123.2077,6483172.032,22.15,2
6,15,420120.5313,6483167.165,28.35,2
6,16,420117.9757,6483166.228,24.2,2
6,17,420117.4095,6483159.395,23.5,2
6,18,420119.3663,6483160.61,41.05,2
6,19,420121.3308,6483162.663,32.05,2
7,1,420126.1816,6483179.678,35.9,2
7,2,420129.7818,6483183.011,34.1,2
7,3,420123.6533,6483192.52,25.15,2
7,4,420117.0516,6483188.534,30.5,2
7,5,420126.3835,6483179.723,36.6,2
7,6,420133.8562,6483177.908,25.65,2
7,7,420129.9009,6483183.066,34.2,2
7,8,420135.3611,6483188.442,31.45,2
7,9,420135.6188,6483192.836,33.45,2
7,10,420130.6324,6483195.046,25.3,2
7,11,420127.2324,6483196.132,26.65,2
7,12,420123.5698,6483192.502,25.1,2
7,13,420122.4508,6483190.506,27.35,2
7,14,420118.3193,6483191.177,30.15,2
7,15,420117.0376,6483188.619,30.2,2
7,16,420119.6983,6483185.128,24.05,2
7,17,420122.561,6483185.725,37.75,2
7,18,420117.6746,6483179.257,38.15,2
8,1,420126.3664,6483201.832,32.6,2
8,2,420132.6343,6483206.301,28.55,2
8,3,420130.1607,6483215.355,26.9,2
8,4,420123.0031,6483212.87,30.35,2
8,5,420126.5097,6483201.864,32.35,2
8,6,420130.5457,6483199.597,33.9,2
8,7,420132.5907,6483206.378,28.6,2
8,8,420131.6132,6483208.049,32.9,2
8,9,420129.9312,6483210.671,22.6,2
8,10,420127.4964,6483209.12,26.0,2
8,11,420134.3348,6483218.025,38.6,2
8,12,420131.7956,6483217.836,23.3,2
8,13,420130.0674,6483215.395,26.75,2
8,14,420124.0449,6483216.994,25.2,2
8,15,420121.0817,6483216.391,25.45,2
8,16,420123.0103,6483212.865,30.55,2
8,17,420119.7842,6483213.7,30.1,2
8,18,420122.2905,6483203.62,33.25,2
8,19,420122.1212,6483199.347,32.65,2
4,1,420148.2902,6483202.645,35.65,2
4,2,420142.1905,6483204.453,6.6,3
4,3,420135.8528,6483193.363,26.05,2
4,4,420137.7821,6483191.411,22.2,2
4,5,420147.3503,6483197.362,34.2,2
4,6,420145.8669,6483201.711,4.65,3
4,7,420142.2089,6483204.467,5.9,3
4,8,420135.8621,6483193.328,26.0,2
4,9,420137.779,6483191.401,22.1,2
3,1,420148.0197,6483177.912,32.9,2
3,2,420151.8513,6483185.34,39.1,2
3,3,420146.7508,6483192.605,37.2,2
3,4,420139.4834,6483182.982,24.6,2
3,5,420148.2021,6483177.983,33.15,2
3,6,420148.0819,6483180.813,30.9,2
3,7,420152.9011,6483179.498,29.75,2
3,8,420154.1038,6483177.814,33.95,2
3,9,420151.9299,6483185.339,38.95,2
3,10,420153.6962,6483187.598,33.55,2
3,11,420149.434,6483189.019,31.7,2
3,12,420146.7601,6483192.561,37.4,2
3,13,420143.4714,6483185.187,29.15,2
3,14,420138.3616,6483191.887,24.25,2
3,15,420138.6375,6483187.785,31.25,2
3,16,420139.4929,6483182.964,27.2,2
3,17,420142.0737,6483182.832,39.9,2
3,18,420136.7192,6483177.033,32.0,2
2,1,420141.1805,6483158.515,30.25,2
2,2,420152.7015,6483162.397,32.9,2
2,3,420144.1385,6483170.077,26.5,2
2,4,420137.672,6483164.097,37.45,2
2,5,420141.2428,6483158.48,30.25,2
2,6,420145.6092,6483156.23,34.35,2
2,7,420152.6887,6483162.335,32.95,2
2,8,420151.1045,6483169.841,42.55,2
2,9,420149.7732,6483171.495,38.95,2
2,10,420144.1646,6483170.069,26.6,2
2,11,420143.0909,6483168.416,31.6,2
2,12,420140.0437,6483171.645,27.1,2
2,13,420140.0047,6483168.238,35.75,2
2,14,420136.6481,6483168.675,25.4,2
2,15,420137.6643,6483164.11,37.25,2
2,16,420135.3547,6483163.337,32.7,2
2,17,420139.727,6483160.315,27.5,2
2,18,420136.1971,6483157.146,32.1,2
2,19,420139.118,6483157.077,31.8,2
1,1,420138.3857,6483138.35,50.75,2
1,2,420146.0263,6483144.883,37.35,2
1,3,420144.1125,6483148.624,43.55,2
1,4,420136.6063,6483147.558,27.4,2
1,5,420138.6,6483138.292,51.2,2
1,6,420146.0311,6483144.872,37.6,2
1,7,420148.8332,6483150.119,46.35,2
1,8,420147.6316,6483155.409,31.05,2
1,9,420134.9069,6483151.337,27.9,2
1,10,420140.3268,6483147.303,35.2,2
1,11,420136.6177,6483147.577,27.3,2
1,12,420138.1981,6483143.741,44.7,2
14,1,420096.4963,6483170.538,24.3,2
14,2,420093.1438,6483176.437,30.35,2
14,3,420089.7457,6483179.852,28.95,2
14,4,420086.2372,6483170.052,39.3,2
14,5,420096.4847,6483170.504,23.95,2
14,6,420097.032,6483173.063,33.15,2
14,7,420093.2467,6483176.466,30.25,2
14,8,420094.7974,6483178.953,29.4,2
14,9,420090.6675,6483174.303,29.95,2
14,10,420089.7974,6483179.879,30.35,2
14,11,420081.8045,6483176.814,38.4,2
14,12,420082.1159,6483173.725,27.55,2
14,13,420086.6398,6483173.052,34.95,2
14,14,420086.2843,6483170.068,39.0,2
14,15,420097.9556,6483167.596,29.1,2
14,16,420090.8001,6483170.119,37.9,2
15,1,420087.7419,6483181.707,20.7,2
15,2,420090.0261,6483188.619,26.45,2
15,3,420083.0234,6483199.423,31.05,2
15,4,420076.7169,6483194.451,26.55,3
15,5,420087.6861,6483181.702,20.9,2
15,6,420090.4836,6483181.903,28.1,2
15,7,420093.4362,6483182.023,28.6,2
15,8,420089.8582,6483185.675,24.3,2
15,9,420094.9166,6483184.439,29.65,2
15,10,420090.0445,6483188.629,26.4,2
15,11,420096.748,6483198.955,17.4,3
15,12,420095.2877,6483197.024,35.6,3
15,13,420094.0974,6483197.84,16.0,2
15,14,420087.5529,6483191.677,39.55,2
15,15,420084.6676,6483193.903,25.8,2
15,16,420083.0263,6483199.424,31.2,2
15,17,420079.0826,6483198.847,19.8,2
15,18,420079.8952,6483197.615,4.7,2
15,19,420077.5226,6483196.779,20.3,2
15,20,420081.1485,6483193.902,26.9,2
15,21,420076.7298,6483194.418,27.3,3
15,22,420080.9876,6483190.458,25.9,2
15,23,420075.7386,6483187.813,26.05,2
15,24,420078.1333,6483183.096,35.05,2
15,25,420080.0195,6483184.596,25.3,2
15,26,420074.2646,6483185.97,35.15,2
15,27,420074.818,6483182.054,38.05,2
15,28,420083.7844,6483187.334,36.1,2
16,1,420087.9883,6483202.949,29.4,2
16,2,420094.2969,6483211.856,18.1,2
16,3,420093.0086,6483219.318,33.1,2
16,4,420083.9416,6483206.31,31.55,2
16,5,420087.9873,6483202.985,29.35,2
16,6,420093.4031,6483203.112,19.05,3
16,7,420091.6634,6483206.213,32.35,2
16,8,420093.8619,6483207.873,24.4,2
16,9,420094.302,6483211.782,18.15,2
16,10,420096.6065,6483215.77,20.45,3
16,11,420093.131,6483219.286,33.1,2
16,12,420088.5348,6483209.664,12.3,3
16,13,420085.1445,6483209.497,6.4,3
16,14,420085.5095,6483209.392,14.35,3
16,15,420083.9105,6483206.303,31.8,2
12,1,420109.5207,6483202.234,32.6,2
12,2,420115.4241,6483207.602,23.25,2
12,3,420110.7371,6483215.08,24.1,2
12,4,420099.343,6483208.341,15.4,2
12,5,420109.5148,6483202.243,32.7,2
12,6,420111.1273,6483203.949,35.4,2
12,7,420115.5202,6483198.8,26.65,2
12,8,420114.2556,6483201.366,26.8,2
12,9,420117.8265,6483203.885,29.05,2
12,10,420115.424,6483207.603,23.15,2
12,11,420112.0015,6483208.516,18.0,2
12,12,420114.298,6483218.53,26.25,2
12,13,420112.2234,6483217.158,22.35,2
12,14,420110.7284,6483215.075,24.1,2
12,15,420105.3099,6483216.446,20.45,3
12,16,420105.6469,6483214.295,30.55,2
12,17,420106.5698,6483212.578,21.8,2
12,18,420101.6166,6483215.032,29.1,2
12,19,420098.9088,6483218.294,22.35,2
12,20,420099.5209,6483213.3,20.65,3
12,21,420099.3155,6483208.346,15.3,2
12,22,420102.3516,6483200.243,17.7,2
11,1,420108.2856,6483184.046,29.45,2
11,2,420112.0151,6483187.087,24.85,2
11,3,420110.4119,6483193.566,31.4,2
11,4,420098.7953,6483187.547,34.95,2
11,5,420108.3126,6483183.958,28.75,2
11,6,420114.2978,6483180.205,29.05,2
11,7,420114.7623,6483183.649,30.5,2
11,8,420112.0773,6483187.094,25.25,2
11,9,420110.415,6483193.625,28.25,2
11,10,420106.2205,6483198.783,31.8,2
11,11,420105.8716,6483192.187,30.7,2
11,12,420103.8046,6483193.516,24.75,2
11,13,420101.0454,6483197.007,34.05,2
11,14,420099.5782,6483194.912,31.25,2
11,15,420104.2854,6483189.905,28.25,3
11,16,420098.8181,6483187.502,34.8,2
11,17,420100.6663,6483179.396,36.15,2
11,18,420103.1072,6483181.769,33.1,2
11,19,420105.444,6483187.899,30.9,2
11,20,420106.7836,6483179.374,25.25,2
10,1,420103.0538,6483159.971,31.3,2
10,2,420113.5778,6483167.759,34.5,2
10,3,420105.5701,6483174.881,40.55,2
10,4,420097.973,6483167.154,32.0,2
10,5,420103.0589,6483159.962,31.25,2
10,6,420106.6644,6483162.872,34.35,2
10,7,420107.5727,6483162.838,15.8,2
10,8,420108.521,6483158.489,24.4,2
10,9,420111.5636,6483162.515,29.1,2
10,10,420110.0508,6483166.737,34.55,2
10,11,420113.5875,6483167.739,34.45,2
10,12,420112.9892,6483171.81,23.85,2
10,13,420108.2088,6483168.409,29.1,2
10,14,420111.0783,6483173.293,29.0,2
10,15,420106.9936,6483173.266,24.2,3
10,16,420105.6361,6483174.932,40.0,2
10,17,420105.5426,6483168.661,36.9,2
10,18,420096.0391,6483178.296,32.2,2
10,19,420099.193,6483176.047,34.75,2
10,20,420101.2056,6483171.769,29.0,2
10,21,420097.9995,6483167.42,32.2,2
10,22,420103.1142,6483166.526,32.0,2
9,1,420104.3786,6483140.642,37.35,2
9,2,420114.2766,6483148.474,40.7,2
9,3,420108.3037,6483154.265,46.15,2
9,4,420096.9593,6483147.865,24.8,2
9,5,420104.3776,6483140.642,37.4,2
9,6,420111.5406,6483136.975,34.5,2
9,7,420114.3274,6483148.425,40.0,2
9,8,420111.2397,6483151.452,31.0,2
9,9,420113.4477,6483153.224,36.45,2
9,10,420113.7538,6483156.832,33.5,2
9,11,420108.3357,6483154.279,46.05,2
9,12,420105.2858,6483154.285,23.2,3
9,13,420095.8294,6483159.34,41.15,2
9,14,420091.4437,6483150.141,42.25,2
9,15,420096.9363,6483147.767,24.4,2
9,16,420095.3276,6483145.99,28.15,2
9,17,420093.3976,6483144.872,47.3,2
9,18,420096.7084,6483139.479,26.4,2
9,19,420101.1733,6483143.401,30.3,2
9,20,420103.0774,6483138.363,24.8,2
5,1,420124.0211,6483139.678,48.4,2
5,2,420128.138,6483146.443,28.3,2
5,3,420124.627,6483155.84,39.35,2
5,4,420117.7127,6483145.77,36.4,2
5,5,420126.2633,6483139.992,48.9,2
5,6,420127.9912,6483139.507,34.5,2
5,7,420125.639,6483144.674,27.45,2
5,8,420129.9622,6483144.869,39.7,2
5,9,420128.178,6483146.406,29.0,2
5,10,420127.4748,6483150.339,28.25,2
5,11,420125.1483,6483149.276,29.05,2
5,12,420131.0228,6483154.168,37.75,2
5,13,420124.6378,6483155.875,39.6,2
5,14,420117.7396,6483145.761,36.35,2
5,15,420120.6489,6483146.409,35.3,2
